"n","m","total_comparisons","approach","time"
4,45,180,"Forks (parallel)",0.13742995262146
4,50,200,"Naive (serial)",0.465085029602051
4,50,200,"Vectorised (serial)",0.0122520923614502
4,50,200,"Bitops (serial)",0.0392630100250244
4,50,200,"C++ (serial)",0.0140790939331055
4,50,200,"Sockets (parallel)",1.85018682479858
4,50,200,"Forks (parallel)",0.130228042602539
6,5,30,"Naive (serial)",0.0758700370788574
6,5,30,"Vectorised (serial)",0.00116801261901855
6,5,30,"Bitops (serial)",0.00364899635314941
6,5,30,"C++ (serial)",0.00149393081665039
6,5,30,"Sockets (parallel)",1.764004945755
6,5,30,"Forks (parallel)",0.123667001724243
6,10,60,"Naive (serial)",0.159205913543701
6,10,60,"Vectorised (serial)",0.00272893905639648
6,10,60,"Bitops (serial)",0.0080711841583252
6,10,60,"C++ (serial)",0.00285601615905762
6,10,60,"Sockets (parallel)",1.8859748840332
6,10,60,"Forks (parallel)",0.167453050613403
6,15,90,"Naive (serial)",0.195268154144287
6,15,90,"Vectorised (serial)",0.0056450366973877
6,15,90,"Bitops (serial)",0.0135071277618408
6,15,90,"C++ (serial)",0.0048680305480957
6,15,90,"Sockets (parallel)",2.04524397850037
6,15,90,"Forks (parallel)",0.175541877746582
6,20,120,"Naive (serial)",0.330471992492676
6,20,120,"Vectorised (serial)",0.00609207153320312
6,20,120,"Bitops (serial)",0.0164048671722412
6,20,120,"C++ (serial)",0.00585603713989258
6,20,120,"Sockets (parallel)",1.78912210464478
6,20,120,"Forks (parallel)",0.162369012832642
6,25,150,"Naive (serial)",0.362496137619019
6,25,150,"Vectorised (serial)",0.00761604309082031
6,25,150,"Bitops (serial)",0.0247340202331543
6,25,150,"C++ (serial)",0.00933408737182617
6,25,150,"Sockets (parallel)",1.83367586135864
6,25,150,"Forks (parallel)",0.196622133255005
6,30,180,"Naive (serial)",0.430626153945923
6,30,180,"Vectorised (serial)",0.0104420185089111
6,30,180,"Bitops (serial)",0.0289812088012695
6,30,180,"C++ (serial)",0.0115230083465576
6,30,180,"Sockets (parallel)",3.78735494613647
6,30,180,"Forks (parallel)",0.241979837417603
6,35,210,"Naive (serial)",0.620532989501953
6,35,210,"Vectorised (serial)",0.0231430530548096
6,35,210,"Bitops (serial)",0.0610120296478271
6,35,210,"C++ (serial)",0.0221240520477295
6,35,210,"Sockets (parallel)",3.28919816017151
6,35,210,"Forks (parallel)",0.29845404624939
6,40,240,"Naive (serial)",0.764629125595093
6,40,240,"Vectorised (serial)",0.0111038684844971
6,40,240,"Bitops (serial)",0.0705928802490234
6,40,240,"C++ (serial)",0.0234601497650146
6,40,240,"Sockets (parallel)",3.06408381462097
6,40,240,"Forks (parallel)",0.220941066741943
6,45,270,"Naive (serial)",0.741129159927368
6,45,270,"Vectorised (serial)",0.0249059200286865
6,45,270,"Bitops (serial)",0.0689120292663574
6,45,270,"C++ (serial)",0.0223009586334229
6,45,270,"Sockets (parallel)",2.35500121116638
6,45,270,"Forks (parallel)",0.176738977432251
6,50,300,"Naive (serial)",0.642238140106201
6,50,300,"Vectorised (serial)",0.017448902130127
6,50,300,"Bitops (serial)",0.056473970413208
6,50,300,"C++ (serial)",0.013495922088623
6,50,300,"Sockets (parallel)",1.96002793312073
6,50,300,"Forks (parallel)",0.181595087051392
8,5,40,"Naive (serial)",0.0891358852386475
8,5,40,"Vectorised (serial)",0.00173497200012207
8,5,40,"Bitops (serial)",0.0050199031829834
8,5,40,"C++ (serial)",0.00180482864379883
8,5,40,"Sockets (parallel)",2.58908700942993
8,5,40,"Forks (parallel)",0.199471950531006
8,10,80,"Naive (serial)",0.227236986160278
8,10,80,"Vectorised (serial)",0.00652384757995605
8,10,80,"Bitops (serial)",0.0184109210968018
8,10,80,"C++ (serial)",0.00752592086791992
8,10,80,"Sockets (parallel)",3.46108102798462
8,10,80,"Forks (parallel)",0.202338218688965
8,15,120,"Naive (serial)",0.351037979125977
8,15,120,"Vectorised (serial)",0.00843191146850586
8,15,120,"Bitops (serial)",0.0293898582458496
8,15,120,"C++ (serial)",0.00977802276611328
8,15,120,"Sockets (parallel)",3.09511995315552
8,15,120,"Forks (parallel)",0.370382070541382
8,20,160,"Naive (serial)",0.520614147186279
8,20,160,"Vectorised (serial)",0.0104360580444336
8,20,160,"Bitops (serial)",0.0327811241149902
8,20,160,"C++ (serial)",0.0118098258972168
8,20,160,"Sockets (parallel)",3.28838086128235
8,20,160,"Forks (parallel)",0.282348871231079
8,25,200,"Naive (serial)",0.467108964920044
8,25,200,"Vectorised (serial)",0.0131239891052246
8,25,200,"Bitops (serial)",0.0416150093078613
8,25,200,"C++ (serial)",0.0163311958312988
8,25,200,"Sockets (parallel)",4.36471080780029
8,25,200,"Forks (parallel)",0.3889479637146
8,30,240,"Naive (serial)",1.05546021461487
8,30,240,"Vectorised (serial)",0.0175380706787109
8,30,240,"Bitops (serial)",0.0521769523620605
8,30,240,"C++ (serial)",0.0198590755462646
