"n","m","total_comparisons","approach","time"
20,25,500,"Forks (parallel)",0.328159093856812
20,30,600,"Naive (serial)",1.19792294502258
20,30,600,"Vectorised (serial)",0.0226759910583496
20,30,600,"Bitops (serial)",0.0975799560546875
20,30,600,"C++ (serial)",0.0270631313323975
20,30,600,"Sockets (parallel)",1.96795701980591
20,30,600,"Forks (parallel)",0.183701992034912
20,35,700,"Naive (serial)",1.50066518783569
20,35,700,"Vectorised (serial)",0.0464110374450684
20,35,700,"Bitops (serial)",0.111078023910522
20,35,700,"C++ (serial)",0.0373060703277588
20,35,700,"Sockets (parallel)",2.39096903800964
20,35,700,"Forks (parallel)",0.219491958618164
20,40,800,"Naive (serial)",1.41954302787781
20,40,800,"Vectorised (serial)",0.0327298641204834
20,40,800,"Bitops (serial)",0.108148097991943
20,40,800,"C++ (serial)",0.043593168258667
20,40,800,"Sockets (parallel)",2.15894508361816
20,40,800,"Forks (parallel)",0.213542938232422
20,45,900,"Naive (serial)",1.82256007194519
20,45,900,"Vectorised (serial)",0.0503871440887451
20,45,900,"Bitops (serial)",0.142836809158325
20,45,900,"C++ (serial)",0.0568480491638184
20,45,900,"Sockets (parallel)",2.84440588951111
20,45,900,"Forks (parallel)",0.210279941558838
20,50,1000,"Naive (serial)",1.97254490852356
20,50,1000,"Vectorised (serial)",0.0430870056152344
20,50,1000,"Bitops (serial)",0.142011880874634
20,50,1000,"C++ (serial)",0.0478169918060303
20,50,1000,"Sockets (parallel)",2.46711611747742
20,50,1000,"Forks (parallel)",0.23497200012207
